fabricante,local_empresa,ano_revisado,origem,cacau_percent,num_ingredientes,classificacao
Belcolade,Belgium,2010,Costa Rica,64,4,2.75
Belcolade,Belgium,2010,Papua New Guinea,64,4,2.75
Belcolade,Belgium,2010,Peru,64,4,2.75
Belcolade,Belgium,2010,Ecuador,71,4,3.5
Bellflower,U.S.A.,2016,Bolivia,70,3,3.25
Bellflower,U.S.A.,2016,Tanzania,70,3,3.5
Bellflower,U.S.A.,2016,Dominican Republic,70,2,3.5
Belvie,Vietnam,2018,Vietnam,75,3,3.25
Belvie,Vietnam,2021,Vietnam,70,3,3.75
Belyzium,Germany,2016,Belize,83,3,2.75
Belyzium,Germany,2016,Belize,78,3,3
Belyzium,Germany,2016,Belize,83,3,3.5
Benns,Singapore,2018,Vietnam,72,4,3
Benns,Singapore,2018,India,72,4,3
Benns,Singapore,2018,Malaysia,72,4,3
Benoit Nihant,Belgium,2011,Madagascar,72,3,3.75
Benoit Nihant,Belgium,2011,Indonesia,72,3,4
Benoit Nihant,Belgium,2013,Cuba,74,3,3.5
Benoit Nihant,Belgium,2013,Venezuela,74,3,3.5
Benoit Nihant,Belgium,2013,Venezuela,74,3,3.5
Benoit Nihant,Belgium,2013,Ecuador,73,3,4
Bernachon,France,2012,Blend,55,5,2.75
Beschle (Felchlin),Switzerland,2010,Venezuela,70,3,3.25
Beschle (Felchlin),Switzerland,2010,Venezuela,74,3,3.25
Beschle (Felchlin),Switzerland,2010,Indonesia,64,3,3.5
Beschle (Felchlin),Switzerland,2010,Venezuela,72,3,3.5
Beschle (Felchlin),Switzerland,2011,Madagascar,64,3,3
Beschle (Felchlin),Switzerland,2011,Venezuela,88,3,3
Beschle (Felchlin),Switzerland,2011,Venezuela,72,3,3.5
Beschle (Felchlin),Switzerland,2011,Ecuador,72,3,4
Bisou,U.S.A.,2015,Nicaragua,76,2,2.5
Bisou,U.S.A.,2015,Costa Rica,76,2,2.5
Bisou,U.S.A.,2015,Costa Rica,78,4,2.5
Bisou,U.S.A.,2015,Belize,86,4,3.25
Bitacora,Venezuela,2018,Venezuela,70,4,3
Bitacora,Venezuela,2018,Venezuela,70,4,3
Bitacora,Venezuela,2018,Venezuela,70,4,3.5
Bittersweet Origins,U.S.A.,2008,Madagascar,71,2,3
Bittersweet Origins,U.S.A.,2008,Ghana,70,2,3
Bittersweet Origins,U.S.A.,2008,Panama,75,2,3.5
Bittersweet Origins,U.S.A.,2008,Dominican Republic,68,2,3.75
Bittersweet Origins,U.S.A.,2009,Dominican Republic,75,2,3
Bittersweet Origins,U.S.A.,2009,Madagascar,75,2,3.25
Bittersweet Origins,U.S.A.,2009,Dominican Republic,65,2,3.5
Bittersweet Origins,U.S.A.,2009,Madagascar,65,2,3.5
Bittersweet Origins,U.S.A.,2010,Indonesia,65,2,2.75
Bittersweet Origins,U.S.A.,2010,Madagascar,70,2,3
Bittersweet Origins,U.S.A.,2010,Venezuela,78,2,3
Bittersweet Origins,U.S.A.,2010,Indonesia,75,2,3.25
Bittersweet Origins,U.S.A.,2010,Blend,70,2,3.75
Bittersweet Origins,U.S.A.,2012,Ghana,72,3,3.5
Bixby,U.S.A.,2018,Haiti,70,2,3
Bixby,U.S.A.,2018,Guatemala,70,2,3
Bixby,U.S.A.,2018,Dominican Republic,70,2,3.25
Bixby,U.S.A.,2019,Belize,70,2,2.75
Black Mountain,U.S.A.,2008,Dominican Republic,70,3,2.75
Black Mountain,U.S.A.,2008,Venezuela,70,3,2.75
Black Mountain,U.S.A.,2008,Nicaragua,70,3,3
Black Mountain,U.S.A.,2021,Dominican Republic,70,4,3.75
Black River (A. Morin),U.K.,2014,Jamaica,70,4,2.75
Black Sheep,U.S.A.,2021,Colombia,72,3,3.25
Black Sheep,U.S.A.,2021,Belize,72,3,3.25
Blanxart,Spain,2009,Blend,72,4,2.75
Blanxart,Spain,2013,Congo,82,4,3.5
Blue Bandana,U.S.A.,2012,Guatemala,70,3,3.5
Blue Bandana,U.S.A.,2012,Madagascar,70,3,3.75
Blue Bandana,U.S.A.,2016,Guatemala,75,2,2.75
Blue Bandana,U.S.A.,2016,Dominican Republic,75,2,3
Blue Bandana,U.S.A.,2016,Madagascar,82,2,3.5
Blue Bandana,U.S.A.,2016,Tanzania,75,2,3.5
Boho,U.S.A.,2017,Belize,70,3,2.75
Bonaterra,Malaysia,2019,Malaysia,68,2,2.5
Bonaterra,Malaysia,2019,Malaysia,72,2,2.75
Bonaterra,Malaysia,2019,Malaysia,74,2,3.25
Bonnat,France,2006,Blend,100,NA,1.5
Bonnat,France,2006,Sri Lanka,75,3,3
Bonnat,France,2006,Blend,75,3,3.75
Bonnat,France,2006,Venezuela,75,3,3.75
Bonnat,France,2006,Madagascar,75,3,3.75
Bonnat,France,2006,Venezuela,75,3,4
Bonnat,France,2006,Venezuela,75,3,4
Bonnat,France,2007,Ecuador,75,3,2.5
Bonnat,France,2008,Venezuela,75,3,4
Bonnat,France,2009,Peru,75,3,2.75
Bonnat,France,2009,Ivory Coast,75,3,3
Bonnat,France,2009,Mexico,75,3,3
Bonnat,France,2009,Mexico,75,3,3
Bonnat,France,2011,Jamaica,75,3,3.25
Bonnat,France,2011,Cuba,75,3,3.5
Bonnat,France,2011,Peru,75,3,3.5
Bonnat,France,2011,Peru,75,3,3.5
Bonnat,France,2011,Brazil,75,3,3.5
Bonnat,France,2011,Brazil,75,3,3.75
Bonnat,France,2011,Haiti,75,3,4
Bonnat,France,2011,Madagascar,75,3,4
Bonnat,France,2013,Gabon,75,3,3.25
Bonnat,France,2013,Brazil,75,3,3.5
Bonnat,France,2014,Dominican Republic,75,3,3.25
Bonnat,France,2014,Blend,65,3,3.75
Bonnat,France,2014,Brazil,75,3,4
Bonnat,France,2016,Mexico,75,3,3.5
Bonnat,France,2018,Peru,75,3,4
Bonnat,France,2018,Blend,75,3,4
Bonnat,France,2021,Nicaragua,75,3,3.75
Bouga Cacao (Tulicorp),Ecuador,2009,Ecuador,100,NA,1.5
Bouga Cacao (Tulicorp),Ecuador,2009,Ecuador,77,2,3.25
Bowler Man,U.S.A.,2014,Belize,70,NA,2.75
Bowler Man,U.S.A.,2014,Dominican Republic,70,NA,2.75
Brasstown,U.S.A.,2018,Ecuador,75,3,3.5
Brasstown,U.S.A.,2018,Peru,70,3,3.75
Brasstown,U.S.A.,2018,Bolivia,70,3,4
Brasstown,U.S.A.,2021,Tanzania,62,3,3
Brasstown aka It's Chocolate,U.S.A.,2013,Dominican Republic,72,5,3
Brasstown aka It's Chocolate,U.S.A.,2013,Ecuador,70,5,3.25
Brasstown aka It's Chocolate,U.S.A.,2013,Ghana,75,5,3.5
Brasstown aka It's Chocolate,U.S.A.,2013,Venezuela,85,5,3.5
Brasstown aka It's Chocolate,U.S.A.,2014,Belize,70,3,3.75
Brasstown aka It's Chocolate,U.S.A.,2014,Venezuela,70,3,4
Brasstown aka It's Chocolate,U.S.A.,2015,Dominican Republic,68,3,3.75
Brasstown aka It's Chocolate,U.S.A.,2016,Venezuela,70,3,3.5
Brasstown aka It's Chocolate,U.S.A.,2016,Nicaragua,70,3,3.75
Brasstown aka It's Chocolate,U.S.A.,2017,Dominican Republic,70,3,3.25
Brasstown aka It's Chocolate,U.S.A.,2017,Ecuador,75,3,3.75
Brazen,U.S.A.,2015,Madagascar,80,3,2.75
Brazen,U.S.A.,2015,Dominican Republic,60,3,3
Brazen,U.S.A.,2015,Dominican Republic,80,3,3.25
Brazen,U.S.A.,2015,Belize,80,3,3.25
Brazen,U.S.A.,2015,Madagascar,60,3,3.25
Brazen,U.S.A.,2015,Guatemala,70,2,3.5
Breeze Mill,U.S.A.,2013,Jamaica,70,4,3
Bright,Australia,2014,Trinidad,68,3,2.75
Bright,Australia,2014,Madagascar,72,3,3
Bright,Australia,2014,Dominican Republic,70,3,3.5
Bright,Australia,2014,Ecuador,72,3,3.5
Britarev,Russia,2015,Ecuador,70,2,3.25
Bronx Grrl Chocolate,U.S.A.,2013,Dominican Republic,68,3,2.75
Bullion,U.K.,2018,Bolivia,70,3,2.5
Bullion,U.K.,2018,Guatemala,70,3,3
Burnt Fork Bend,U.S.A.,2014,Ecuador,60,3,2.5
Burnt Fork Bend,U.S.A.,2014,Trinidad,72,3,3.25
Burnt Fork Bend,U.S.A.,2014,Belize,72,3,3.25
Burnt Fork Bend,U.S.A.,2014,Blend,72,3,3.25
Burnt Fork Bend,U.S.A.,2014,Ecuador,72,3,3.5
By Cacao,South Korea,2019,Ecuador,70,2,3
Cacai Cacao,Taiwan,2019,Taiwan,70,2,3.25
Cacai Cacao,Taiwan,2019,Philippines,70,2,3.5
Cacao 70,Canada,2019,Guatemala,70,4,3
Cacao 70,Canada,2019,Guatemala,70,4,3.5
Cacao 70,Canada,2019,Bolivia,70,4,3.75
Cacao Arabuco,Puerto Rico,2015,Puerto Rico,70,2,2.5
Cacao Atlanta,U.S.A.,2010,Venezuela,75,2,2.25
Cacao Atlanta,U.S.A.,2010,Dominican Republic,75,2,2.5
Cacao Atlanta,U.S.A.,2010,Dominican Republic,75,2,2.75
Cacao Atlanta,U.S.A.,2014,Peru,75,2,2.5
Cacao Barry,France,2007,Venezuela,72,5,2
Cacao Barry,France,2007,Mexico,66,5,3
Cacao Barry,France,2008,Tanzania,75,5,2
Cacao Barry,France,2010,Dominican Republic,70,5,3
Cacao Barry,France,2016,Haiti,65,5,3.5
Cacao Betulia,Switzerland,2018,Colombia,72,2,2.5
Cacao Betulia,Switzerland,2018,Colombia,72,2,3
Cacao Betulia,Switzerland,2018,Colombia,72,2,3.75
Cacao de Origen,Venezuela,2014,Venezuela,75,2,2.5
Cacao de Origen,Venezuela,2014,Venezuela,74,2,3.25
Cacao de Origen,Venezuela,2014,Venezuela,75,2,3.5
Cacao de Origen,Venezuela,2014,Venezuela,70,2,3.75
Cacao de Origen,Venezuela,2015,Venezuela,74,2,3.25
Cacao de Origen,Venezuela,2015,Venezuela,75,2,3.25
Cacao de Origen,Venezuela,2015,Venezuela,77,2,3.5
Cacao de Origen,Venezuela,2018,Venezuela,75,2,2.75
Cacao de Origen,Venezuela,2019,Venezuela,75,2,2.5
Cacao de Origen,Venezuela,2019,Venezuela,70,2,3
Cacao Gonzales,U.S.A.,2018,Venezuela,70,2,3
Cacao Hunters,Colombia,2014,Colombia,69,4,2.75
Cacao Hunters,Colombia,2014,Colombia,70,4,3.25
Cacao Hunters,Colombia,2014,Colombia,64,4,3.5
Cacao Hunters,Colombia,2014,Colombia,70,4,3.5
Cacao Hunters,Colombia,2015,Colombia,72,3,3.75
Cacao Hunters,Colombia,2016,Colombia,71,3,3.75
Cacao Hunters,Colombia,2016,Colombia,74,3,3.75
Cacao Market,U.S.A.,2016,Honduras,70,4,3.5
Cacao Prieto,U.S.A.,2011,Dominican Republic,72,2,3
Cacao Prieto,U.S.A.,2011,Dominican Republic,65,2,3.25
Cacao Prieto,U.S.A.,2011,Dominican Republic,66,2,3.75
Cacao Prieto,U.S.A.,2012,Dominican Republic,72,2,3.75
Cacao Sampaka,Spain,2009,Mexico,70,4,4
Cacao Sampaka,Spain,2009,Mexico,70,4,4
Cacao Sampaka,Spain,2010,Grenada,71,4,3.25
Cacao Sampaka,Spain,2010,Madagascar,71,4,3.5
Cacao Sampaka,Spain,2010,Venezuela,71,4,3.5
Cacao Sampaka,Spain,2010,Venezuela,77,4,3.5
Cacao Sampaka,Spain,2010,Ecuador,71,4,3.75
Cacao Sampaka,Spain,2010,Papua New Guinea,71,4,4
Cacao Sampaka,Spain,2016,Congo,70,4,3.5
Cacao Santa Fe (Art of Chocolate),U.S.A.,2020,Dominican Republic,72,4,2.75
Cacao Santa Fe (Art of Chocolate),U.S.A.,2020,Peru,72,4,2.75
Cacao Santa Fe (Art of Chocolate),U.S.A.,2020,Ecuador,72,4,3
Cacao Store,Japan,2015,Madagascar,70,2,3
Cacao Store,Japan,2015,Peru,70,2,3.25
Cacao Store,Japan,2015,Vietnam,70,2,3.5
Cacaodada,South Korea,2018,Ghana,70,NA,3
Cacaodada,South Korea,2018,Dominican Republic,70,NA,3.25
Cacaodada,South Korea,2018,Ecuador,70,NA,3.5
Cacaosuyo,Peru,2021,Peru,70,2,3.5
Cacaosuyo,Peru,2021,Peru,70,2,3.5
Cacaosuyo,Peru,2021,Peru,80,2,3.5
Cacaosuyo,Peru,2021,Peru,70,2,4
Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,91,4,1.5
Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,82,4,2.5
Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,63,4,3.5
Cacaoyere (Ecuatoriana),Ecuador,2008,Ecuador,71,4,3.5
Callebaut,Belgium,2007,Ecuador,70,NA,1
Callebaut,Belgium,2008,Grenada,60,NA,2.75
C-Amaro,Italy,2011,Sao Tome,78,2,2.25
C-Amaro,Italy,2011,Trinidad,70,2,2.5
C-Amaro,Italy,2012,Venezuela,80,2,3
C-Amaro,Italy,2013,Ecuador,100,1,3.5
C-Amaro,Italy,2014,Cuba,75,2,2.5
C-Amaro,Italy,2014,Dominican Republic,72,2,3
C-Amaro,Italy,2014,Blend,70,2,3.5
Cao,U.S.A.,2016,Venezuela,75,3,2.5
Cao,U.S.A.,2016,Tanzania,73,3,2.75
Cao,U.S.A.,2016,Venezuela,70,3,3
Cao,U.S.A.,2016,Bolivia,75,3,3
Cao,U.S.A.,2016,Brazil,70,3,3.25
Caofiori,Colombia,2021,Colombia,70,4,3.25
Caofiori,Colombia,2021,Colombia,70,4,3.25
Caofiori,Colombia,2021,Colombia,70,4,3.5
Caofiori,Colombia,2021,Colombia,70,4,3.75
Caoni (Tulicorp),Ecuador,2008,Ecuador,77,4,2
Caoni (Tulicorp),Ecuador,2008,Ecuador,77,4,2.5
Caoni (Tulicorp),Ecuador,2008,Ecuador,77,4,2.75
Caoni (Tulicorp),Ecuador,2008,Ecuador,55,4,3
Caoni (Tulicorp),Ecuador,2008,Ecuador,55,4,3.25
Caoni (Tulicorp),Ecuador,2008,Ecuador,55,4,3.5
Captain Pembleton,New Zealand,2014,Papua New Guinea,70,3,3.5
Captain Pembleton,New Zealand,2014,Papua New Guinea,70,3,3.75
CAR Artisan,U.S.A.,2021,Nicaragua,70,3,3
CAR Artisan,U.S.A.,2021,Tanzania,70,3,3.25
CAR Artisan,U.S.A.,2021,Peru,70,3,3.25
CAR Artisan,U.S.A.,2021,Mexico,70,3,3.25
Caribeans,Costa Rica,2012,Costa Rica,80,2,2.75
Caribeans,Costa Rica,2012,Costa Rica,72,2,3
Caribeans,Costa Rica,2015,Costa Rica,72,2,3.25
Caribeans,Costa Rica,2015,Guatemala,72,3,3.5
Caribeans,Costa Rica,2015,Costa Rica,72,2,3.5
Carlotta Chocolat,Colombia,2016,Colombia,65,3,3
Carlotta Chocolat,Colombia,2016,Colombia,65,3,3.25
Carlotta Chocolat,Colombia,2016,Colombia,65,3,3.25
Carlotta Chocolat,Colombia,2016,Colombia,65,3,3.5
Carlotta Chocolat,Colombia,2016,Colombia,65,3,3.5
Casa,U.S.A.,2018,Blend,75,2,2
Casa Lasevicius,Brazil,2019,Brazil,71,2,3
Casa Lasevicius,Brazil,2019,Brazil,65,2,3.25
Castronovo,U.S.A.,2013,Peru,70,3,2.5
Castronovo,U.S.A.,2013,Peru,70,3,2.75
Castronovo,U.S.A.,2013,Bolivia,70,3,3
Castronovo,U.S.A.,2013,Venezuela,72,3,3
